X座標,Y座標,配線端番号,座標,ピン高さ,ピングループ
3243,2204,29,Y1,34,A
2437,2461,11,YY1,26,C
3243,2204,29,Y1,34,A
2437,2461,11,YY1,27,C
2368,2186,43,Y4,30,D
2368,2186,43,Y4,32,D
1133,2204,19,Z4,32,B
1133,2204,19,Z4,34,B
1760,2320,16,CNV,121,
4885,625,57,EBU,17,D
1771,2155,47,Z,115,
4885,625,56,EBU,12,B
1759,2230,17,SA,41,
4885,625,57,EBU,16,D
3591,1960,48,GPT,890,
4885,625,55,EBU,11,A
3591,1960,48,GPT,889,
4885,625,55,EBU,10,A
4544,1929,49,CB,197,A
4407,2186,,Z9,34,C
4544,1929,49,CB,199,A
2434,2204,27,Y4,30,A
4544,1929,49,CB,201,A
2434,2204,27,Y4,30,A
4407,2204,38,Z9,34,A
2434,2204,27,Y4,32,A
4544,1929,49,CB,196,A
4407,2186,,Z9,34,C
4544,1929,49,CB,202,A
2434,2204,27,Y4,32,A
4544,1929,49,CB,204,A
4544,1929,49,CB,206,A
2434,2204,27,Y4,34,A
2368,2204,26,Y4,30,B
1553,2204,25,Z1,32,B
4407,2204,38,Z9,34,A
2434,2204,27,Y4,34,A
4544,1929,49,CB,211,A
1348,2204,22,Z2,34,A
4544,1929,50,CB,130,B
4033,2204,33,Z6,32,B
4544,1929,50,CB,131,B
4033,2204,33,Z6,32,B
4544,1929,50,CB,127,B
1273,2204,21,Z3,32,B
4544,1929,50,CB,129,B
1273,2204,21,Z3,34,B
4544,1929,50,CB,126,B
1273,2204,21,Z3,32,B
4544,1929,50,CB,128,B
4544,1929,50,CB,132,B
4033,2204,33,Z6,34,B
4544,1929,50,CB,133,B
4033,2204,33,Z6,34,B
4544,1929,49,CB,198,A
1273,2204,21,Z3,30,B
1771,2155,47,Z,113,
1133,2204,19,Z4,30,B
1133,2204,19,Z4,30,B
1555,2360,15,1TS,46,
1944,2198,41,TH,28,U
2710,2190,42,FAN,19,
2710,2190,42,FAN,21,
1555,2360,15,1TS,47,
1896,2198,40,TH,31,L
2730,2530,6,FLF,21,
2660,2517,7,DRSF,16,
3827,940,54,1CT,35,
4268,2186,,Z8,30,C
3827,940,54,1CT,36,
4268,2186,,Z8,32,C
4027,1100,53,2CT,35,
4268,2186,,Z8,32,C
4027,1100,53,2CT,36,
4268,2186,,Z8,34,C
3827,1260,52,3CT,35,
4268,2186,,Z8,34,C
3827,1260,52,3CT,36,
4334,2186,46,Z8,30,D
3827,940,54,1CT,37,
3827,1260,52,3CT,37,
4027,1100,53,2CT,37,
4334,2186,46,Z8,30,D
4576,1381,51,SH,31,
1490,2360,14,2TS,45,
1490,2360,14,2TS,46,
4173,2204,35,Z7,32,B
4754,1381,51,SH,32,
4173,2204,35,Z7,34,B
4173,2204,35,Z7,34,B
2660,2517,7,DRSF,15,
1390,2360,13,COF,29,
1555,2360,15,1TS,45,
1896,2198,40,TH,32,L
4473,2204,39,Z9,30,B
2730,2530,6,FLF,20,
4473,2204,39,Z9,32,B
1390,2360,13,COF,30,
1896,2198,40,TH,33,L
2710,2190,42,FAN,20,
2710,2190,42,FAN,22,
2368,2204,26,Y4,30,B
2368,2204,26,Y4,32,B
